time,open,high,low,close,Buy Signal,Sell Signal,Volume,Volume MA
1331856000,5.3,5.42,5.24,5.25,NaN,NaN,714.23479407,592.4773004085002
1332115200,5.24,5.37,4.79,4.96,NaN,NaN,704.27830285,606.4934320515001
1332374400,4.86,4.98,4.6,4.83,NaN,NaN,981.0796887900001,642.4655213115001
1332633600,4.61,4.97,4.54,4.84,NaN,NaN,449.82892812,654.8008517250001
1332892800,4.75,4.95,4.72,4.88,NaN,NaN,690.44146077,688.0796824420001
1333152000,4.9,5.04,4.77,5.04,NaN,NaN,1355.45826001,737.1744419610002
1333411200,5.04,5.04,4.86,5,NaN,NaN,950.6034274000001,771.1527197685001
1333670400,4.9,4.99,4.69,4.76,NaN,NaN,1131.83130583,813.83649619
1333929600,4.7,4.92,4.7,4.92,NaN,NaN,898.98059371,845.6648668605001
1334188800,4.87,5.01,4.73,4.96,NaN,NaN,2403.71043573,951.2017483620002
1334448000,4.96,4.99,4.92,4.98,NaN,NaN,884.4970222,974.0224306780003
1334707200,4.98,5.38,4.98,5.38,NaN,NaN,1775.4193496200003,1029.6427456610004
1334966400,5.4,5.43,5,5,NaN,NaN,1388.9731822,1041.6613059120004
1335225600,4.99,5.15,4.86,4.98,NaN,NaN,4372.17530052,1250.3548449715004
1335484800,5.03,5.08,4.81,4.91,NaN,NaN,985.91816529,1250.0741758595004
1335744000,4.92,5.15,4.86,5.06,NaN,NaN,1817.64414685,1307.8035528000005
1336003200,5.06,5.15,5.04,5.04,NaN,NaN,1836.70121143,1353.2240679090005
1336262400,5.06,5.1,4.97,5.02,NaN,NaN,2749.08338743,1441.7958583215006
1336521600,5.02,5.08,4.87,4.95,NaN,NaN,1671.22254484,1512.9823288475004
1336780800,4.95,4.99,4.88,4.93,NaN,NaN,1333.5259744999998,1454.7803741080006
1337040000,4.95,5.04,4.9,5.02,NaN,NaN,1390.24201751,1488.5807352800007
1337299200,5.03,5.08,5.03,5.03,NaN,NaN,1106.93237148,1508.7134387115007
1337558400,5.04,5.1,5,5.1,NaN,NaN,1590.27629376,1539.1732689600008
1337817600,5.08,5.12,5.04,5.07,NaN,NaN,1568.35657515,1595.0996513115008
1338076800,5.08,5.12,4.95,5.11,NaN,NaN,2435.72781004,1682.3639687750008
1338336000,5.07,5.24,5.07,5.22,NaN,NaN,2324.70600625,1730.8263560870012
1338595200,5.2,5.24,5.14,5.22,NaN,NaN,1565.88784806,1761.5905771200014
1338854400,5.22,5.53,5.22,5.53,NaN,NaN,3112.91646784,1860.6448352205014
1339113600,5.48,5.63,5.42,5.42,NaN,NaN,2022.0562320899999,1916.7986171395012
1339372800,5.48,6,5.4,5.86,NaN,NaN,11688.27753687,2381.0269721965014
1339632000,5.86,6.52,5.56,6.41,NaN,NaN,6288.095388809999,2651.2068905270016
1339891200,6.41,6.49,5.98,6.46,NaN,NaN,4296.33794737,2777.252820414501
1340150400,6.4,6.69,6.26,6.59,NaN,NaN,3519.98738502,2883.8035305555013
1340409600,6.6,6.61,6.11,6.26,NaN,NaN,3693.04249387,2849.846890223001
1340668800,6.26,6.68,5.99,6.5,NaN,NaN,17771.02745637,3689.102354777001
1340928000,6.5,6.63,6.49,6.52,NaN,NaN,9288.05078515,4062.6226866920015
1341187200,6.55,6.66,6.36,6.44,NaN,NaN,5743.31543502,4257.953397871502
1341446400,6.52,6.79,6.39,6.79,NaN,NaN,4478.06685933,4344.402571466501
1341705600,6.8,7.13,6.45,7.08,NaN,NaN,4077.2707205300003,4464.704980251001
1341964800,7.08,7.69,7.04,7.59,NaN,NaN,4282.04538775,4612.130950913501
1342224000,7.58,8.3,7.14,8.3,NaN,NaN,4719.78929539,4778.608314807501
1342483200,8.3,9.2,7.7,8.76,NaN,NaN,8785.58112015,5162.540752241001
1342742400,8.76,8.91,7.93,8.42,NaN,NaN,5242.85713334,5345.169794220002
1343001600,8.42,8.88,8.1,8.64,NaN,NaN,5680.21989894,5550.762960409502
1343260800,8.64,9,8.45,8.88,NaN,NaN,3024.10133674,5580.181636744502
1343520000,8.79,9.28,8.54,9.28,NaN,NaN,4338.409918490001,5680.866832356502
1343779200,9.28,12,8.9,10.79,NaN,NaN,7048.7287653,5955.008878218502
1344038400,10.96,11.2,10.29,10.84,NaN,NaN,4612.20840971,6029.973475312002
1344297600,10.86,12.49,10.7,11,NaN,NaN,6218.124902,6239.776908807502
1344556800,11,11.69,10.9,11.49,NaN,NaN,3751.68861296,5842.947462612002
1344816000,11.42,13.2,11.4,13.01,NaN,NaN,7017.826913659999,5879.4340388545015
1345075200,13.14,16.41,11.11,11.54,NaN,NaN,8908.975156299999,6110.065899301002
1345334400,11.86,11.86,7.1,10.18,NaN,NaN,12194.670622540001,6543.800061177002
1345593600,9.99,10.71,9.75,10.37,NaN,NaN,15074.47944732,7112.871908849503
1345852800,10.45,11.93,10.14,10.78,NaN,NaN,6277.109248660001,6538.175998464003
1346112000,10.9,11.21,10.49,10.65,NaN,NaN,9252.84529399,6536.415723906002
1346371200,10.65,10.8,9.49,10.18,NaN,NaN,4920.78312418,6495.289108364001
1346630400,10.17,10.99,9.95,10.99,NaN,NaN,5686.69995397,6555.720763096001
1346889600,10.9,11.15,10.3,10.97,NaN,NaN,6003.1316368,6652.013808909501
1347148800,10.97,11.08,10.38,11.04,NaN,NaN,8503.14921586,6863.069000315001
1347408000,11.04,11.7,10.75,11.5,NaN,NaN,6680.9626600599995,6961.127668548502
1347667200,11.6,11.88,11.35,11.85,NaN,NaN,2572.14110986,6650.455668034003
1347926400,11.85,12.66,11.67,12.28,NaN,NaN,5754.535120890001,6676.039567411503
1348185600,12.29,12.35,11.79,11.99,NaN,NaN,3892.8999411900004,6586.673569524003
1348444800,11.99,12.2,11.53,12.2,NaN,NaN,7618.75449761,6816.406227567504
1348704000,12.2,12.38,11.53,12.28,NaN,NaN,6732.9224025,6936.131851768003
1348963200,12.2,12.7,11.6,12.64,NaN,NaN,7959.55971348,6981.673399177003
1349222400,12.63,12.99,11.5,12.5,NaN,NaN,13619.90236129,7432.058096756004
1349481600,12.51,12.6,10.42,11.62,NaN,NaN,7789.22216847,7510.612960079503
1349740800,11.62,12.26,11.52,12.09,NaN,NaN,6653.51792307,7655.704425585003
1350000000,11.95,12.1,11.79,11.79,NaN,NaN,1558.5501613200001,7382.740587968004
1350259200,11.78,11.97,11.03,11.88,NaN,NaN,7451.34822104,7309.859241205004
1350518400,11.9,11.9,11.5,11.6,NaN,NaN,12131.61079629,7306.706249892505
1350777600,11.6,11.7,11.25,11.58,NaN,NaN,6678.48838722,6886.906696887505
1351036800,11.38,11.62,9.68,10,NaN,NaN,8642.364113579999,7005.169440133504
1351296000,10,10.8,9.5,10.8,NaN,NaN,5617.58761008,6823.406555938005
1351555200,10.8,11.05,10.43,10.85,NaN,NaN,7564.98251689,6955.616525573506
1351814400,10.85,10.96,10.4,10.64,NaN,NaN,6060.670435849999,6974.315049667506
1352073600,10.63,10.84,10.45,10.8,NaN,NaN,12908.173500820001,7319.567142868506
1352332800,10.65,10.87,10.25,10.81,NaN,NaN,6347.423703389999,7211.780867245006
1352592000,10.82,10.99,10.64,10.87,NaN,NaN,4362.60994534,7095.863231509005
1352851200,10.87,11.6,10.74,11.46,NaN,NaN,10841.67098439,7509.339725235504
1353110400,11.48,11.65,11.03,11.65,NaN,NaN,6035.42895344,7523.384416863004
1353369600,11.6,12.12,11.34,11.88,NaN,NaN,16004.47329602,8128.963084604504
1353628800,11.86,12.35,11.66,12.31,NaN,NaN,4575.149546770001,7976.782837062504
1353888000,12.32,12.74,11.75,12.22,NaN,NaN,12593.6993859,8269.821686232503
1354147200,12.22,12.46,12.1,12.34,NaN,NaN,9539.75141424,8348.831271270503
